Setor_Atividade,Dia_da_Semana,Temperatura_Media,Area_Metragem,Ocupantes_Ativos,Num_Extintores,Consumo_Energia
Industrial,Sabado,20.2,4838.1,183.7,15.0,753.3
Comercial,Quarta,27.3,709.0,19.1,16.0,147.81
Residencial,Quinta,,182.8,5.8,4.0,28.48
Comercial,Terca,25.6,786.7,43.8,17.0,156.39
Comercial,Terca,21.6,242.3,63.3,8.0,148.16
Comercial,Domingo,26.8,,50.4,17.0,156.69
Comercial,Quarta,34.0,635.2,50.1,19.0,189.45
Comercial,Sexta,19.6,176.5,69.8,9.0,147.24
Industrial,Quarta,29.4,4668.7,23.4,10.0,628.36
Industrial,Segunda,30.8,,144.7,4.0,725.58
Industrial,Terca,,1754.4,57.9,19.0,567.06
Residencial,Terca,15.2,199.7,4.7,17.0,29.37
Industrial,Quinta,32.0,1142.8,155.6,16.0,641.4
Comercial,Sexta,,636.3,69.2,13.0,191.32
Residencial,Sabado,16.8,117.1,3.6,2.0,23.11
Comercial,Sabado,23.0,177.7,66.6,19.0,136.92
Industrial,Quinta,16.8,2752.8,163.0,14.0,672.31
Comercial,Domingo,16.2,151.0,38.2,7.0,115.38
Residencial,Segunda,33.5,190.1,3.6,18.0,43.38
Comercial,Terca,22.4,433.5,25.8,13.0,123.74
Comercial,Sabado,23.2,553.5,18.6,18.0,127.2
Residencial,Quarta,,122.9,,13.0,31.68
Industrial,Sexta,,3712.8,168.1,16.0,709.5
Comercial,Quinta,27.7,464.1,20.0,16.0,
Industrial,Sexta,21.5,1102.2,133.3,2.0,531.94
Comercial,Quinta,,322.3,,11.0,133.39
Industrial,Sexta,34.3,517.2,64.4,15.0,541.39
Comercial,Quarta,22.3,171.3,35.2,6.0,115.94
Industrial,Quinta,33.1,4513.4,98.1,18.0,779.58
Comercial,Quarta,23.7,774.9,16.3,14.0,126.87
Comercial,Terca,29.6,592.7,10.3,4.0,140.11
Residencial,Sabado,31.4,153.3,5.9,15.0,41.6
Residencial,Quarta,21.9,74.8,5.1,13.0,22.96
Residencial,Sabado,16.1,110.4,5.8,11.0,24.07
Industrial,Domingo,19.8,2159.2,86.6,2.0,537.48
Industrial,Terca,32.7,,168.0,17.0,719.8
Residencial,Terca,25.9,183.2,2.9,14.0,
Industrial,Quinta,29.0,1828.9,44.6,13.0,547.46
Comercial,Sabado,29.8,376.6,59.9,5.0,175.89
Industrial,Domingo,35.5,1793.3,86.2,2.0,626.89
Industrial,Sexta,21.2,4259.7,22.6,8.0,612.09
Comercial,Segunda,22.8,113.5,18.7,9.0,1872.24
Residencial,Quarta,27.2,143.3,2.0,10.0,31.38
Residencial,Quarta,37.2,,4.7,7.0,49.23
Residencial,Quarta,27.0,196.6,2.5,1.0,35.07
Residencial,Sabado,32.7,173.0,2.5,6.0,41.83
Industrial,Terca,,2172.8,20.2,7.0,554.42
Comercial,Segunda,29.9,781.9,69.3,1.0,199.27
Residencial,Sexta,32.9,124.1,,7.0,40.73
